Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,ticker
2024-11-11,466.010009765625,470.510009765625,464.0,467.3599853515625,4119100,0.0,0.0,BRK-B
2024-11-12,467.69000244140625,468.4200134277344,465.1499938964844,466.2900085449219,4400500,0.0,0.0,BRK-B
2024-11-13,466.4100036621094,468.3999938964844,464.0,468.1000061035156,2861700,0.0,0.0,BRK-B
2024-11-14,468.80999755859375,469.45001220703125,466.0,467.70001220703125,3777300,0.0,0.0,BRK-B
2024-11-15,466.739990234375,472.260009765625,465.19000244140625,470.2799987792969,5817700,0.0,0.0,BRK-B
2024-11-18,470.9800109863281,472.6700134277344,468.3599853515625,472.20001220703125,3358400,0.0,0.0,BRK-B
2024-11-19,470.7699890136719,470.7699890136719,465.010009765625,468.8599853515625,3656200,0.0,0.0,BRK-B
2024-11-20,470.0,470.6099853515625,466.1099853515625,468.8299865722656,3019500,0.0,0.0,BRK-B
2024-11-21,469.45001220703125,474.6600036621094,467.0,472.05999755859375,4116800,0.0,0.0,BRK-B
2024-11-22,472.2699890136719,477.44000244140625,471.6099853515625,476.57000732421875,3885200,0.0,0.0,BRK-B
2024-11-25,479.1300048828125,482.5,476.7900085449219,477.42999267578125,5246600,0.0,0.0,BRK-B
2024-11-26,478.20001220703125,479.3999938964844,472.8500061035156,478.55999755859375,3332000,0.0,0.0,BRK-B
2024-11-27,481.0,491.6700134277344,480.8699951171875,483.0799865722656,5359300,0.0,0.0,BRK-B
2024-11-29,485.3699951171875,486.010009765625,482.04998779296875,483.0199890136719,2969700,0.0,0.0,BRK-B
2024-12-02,484.79998779296875,485.0899963378906,474.75,477.3299865722656,5031500,0.0,0.0,BRK-B
2024-12-03,478.1600036621094,478.29998779296875,468.80999755859375,470.19000244140625,4931600,0.0,0.0,BRK-B
2024-12-04,471.0899963378906,471.3399963378906,466.5,468.32000732421875,3941100,0.0,0.0,BRK-B
2024-12-05,468.7799987792969,472.739990234375,468.7200012207031,470.57000732421875,3320200,0.0,0.0,BRK-B
2024-12-06,470.5799865722656,472.0799865722656,467.82000732421875,470.5,3270900,0.0,0.0,BRK-B
2024-12-09,470.6000061035156,471.70001220703125,463.4200134277344,463.8699951171875,3748200,0.0,0.0,BRK-B
2024-12-10,464.4200134277344,464.989990234375,459.5,462.489990234375,3648500,0.0,0.0,BRK-B
2024-12-11,463.3299865722656,465.4800109863281,458.7699890136719,461.3900146484375,3876900,0.0,0.0,BRK-B
2024-12-12,462.1600036621094,463.57000732421875,458.0799865722656,458.6300048828125,2571300,0.0,0.0,BRK-B
2024-12-13,460.510009765625,460.510009765625,457.010009765625,457.8999938964844,3474300,0.0,0.0,BRK-B
2024-12-16,459.1700134277344,460.4200134277344,454.5799865722656,455.20001220703125,4514000,0.0,0.0,BRK-B
2024-12-17,454.70001220703125,456.6199951171875,452.05999755859375,455.6600036621094,5057500,0.0,0.0,BRK-B
2024-12-18,457.05999755859375,458.7300109863281,446.0899963378906,446.5899963378906,4361900,0.0,0.0,BRK-B
2024-12-19,451.7300109863281,453.79998779296875,448.8900146484375,449.3399963378906,4645200,0.0,0.0,BRK-B
2024-12-20,449.1099853515625,458.6499938964844,447.19000244140625,453.20001220703125,12943900,0.0,0.0,BRK-B
2024-12-23,453.19000244140625,454.54998779296875,449.82000732421875,454.3500061035156,3836000,0.0,0.0,BRK-B
2024-12-24,455.4100036621094,458.989990234375,454.07000732421875,458.6600036621094,1761200,0.0,0.0,BRK-B
2024-12-26,457.2699890136719,459.4800109863281,455.79998779296875,459.0799865722656,2159600,0.0,0.0,BRK-B
2024-12-27,457.29998779296875,461.1300048828125,454.4800109863281,456.510009765625,3237700,0.0,0.0,BRK-B
2024-12-30,454.25,454.69000244140625,449.17999267578125,452.1600036621094,2831400,0.0,0.0,BRK-B
2024-12-31,452.2099914550781,454.3299865722656,451.1099853515625,453.2799987792969,3380700,0.0,0.0,BRK-B
2025-01-02,455.9599914550781,456.8900146484375,450.0299987792969,451.1000061035156,3746400,0.0,0.0,BRK-B
2025-01-03,452.5299987792969,454.5299987792969,450.1199951171875,453.55999755859375,2884600,0.0,0.0,BRK-B
2025-01-06,453.8500061035156,456.239990234375,450.57000732421875,451.4100036621094,4072900,0.0,0.0,BRK-B
2025-01-07,452.79998779296875,456.5199890136719,451.1000061035156,452.9200134277344,3507200,0.0,0.0,BRK-B
2025-01-08,453.6300048828125,454.0,449.6300048828125,451.8399963378906,3933300,0.0,0.0,BRK-B
2025-01-10,452.6600036621094,453.0,440.1000061035156,442.6600036621094,5471900,0.0,0.0,BRK-B
2025-01-13,442.0400085449219,445.0,441.1499938964844,443.9100036621094,3639200,0.0,0.0,BRK-B
2025-01-14,445.5,450.29998779296875,443.9200134277344,450.0299987792969,4055600,0.0,0.0,BRK-B
2025-01-15,455.54998779296875,459.0899963378906,453.2699890136719,458.510009765625,4719400,0.0,0.0,BRK-B
2025-01-16,458.92999267578125,462.9599914550781,458.29998779296875,462.80999755859375,3475700,0.0,0.0,BRK-B
2025-01-17,464.7099914550781,470.17999267578125,462.45001220703125,467.95001220703125,6467000,0.0,0.0,BRK-B
2025-01-21,471.0,473.1700134277344,467.7200012207031,468.57000732421875,4910200,0.0,0.0,BRK-B
2025-01-22,468.5899963378906,468.8900146484375,455.2799987792969,460.510009765625,5838500,0.0,0.0,BRK-B
2025-01-23,461.67999267578125,464.760009765625,458.0,459.8299865722656,4424500,0.0,0.0,BRK-B
2025-01-24,459.20001220703125,463.80999755859375,457.0799865722656,463.19000244140625,3070300,0.0,0.0,BRK-B
2025-01-27,464.29998779296875,474.92999267578125,464.29998779296875,474.70001220703125,4535600,0.0,0.0,BRK-B
2025-01-28,473.92999267578125,473.92999267578125,469.29998779296875,469.9700012207031,3261300,0.0,0.0,BRK-B
2025-01-29,469.8800048828125,473.9200134277344,468.0,469.260009765625,2524200,0.0,0.0,BRK-B
2025-01-30,472.20001220703125,474.05999755859375,469.1499938964844,472.3500061035156,2552200,0.0,0.0,BRK-B
